chpNum	chp	fileName	nameShort	nameLong
1	computer-navigation	chp-computer-navigation	Computer navigation	Navigating your computer
2	intro-to-R	chp-intro-to-R	Intro to R	Intro to R and RStudio
3	spreadsheets	chp-spreadsheets	Spreadsheets	Data organization in spreadsheets
4	data-structures	chp-data-structures	Data structures	Data structures and operations
5	functions	chp-functions	Functions	Vectorization and functions
6	ggplot2-part1	chp-ggplot2-part1	Intro to ggplot2	Simple graphs with ggplot2
7	program-flow	chp-program-flow	Program flow	Controlling program flow
8	tidyverse-basics	chp-tidyverse-basics	Tidy data	Data manipulation in the tidyverse
9	ggplot2-part2	chp-ggplot2-part2	More ggplot2	Complex graphs with ggplot2
A	rmarkdown	chp-rmarkdown	Rmarkdown	Producing reports with Rmd and knitr
B	geospatial-raster	chp-geospatial-raster	Raster data	Intro to geospatial raster data in R
C	openrefine	chp-openrefine	OpenRefine	Data cleaning with OpenRefine
D	git	chp-git	Git	Version control with Git
