chp	objNum	text	prefixText
1	1	navigate between directories	use a Unix terminal to
1	2	view files in a directory	use a Unix terminal to
1	3	"make, delete, rename and move files"	use a Unix terminal to
2	1	execute simple mathematical calculations	use R and RStudio to
2	2	assign and manipulate variables	use R and RStudio to
2	3	"assign, subset and manipulate data in a vector"	use R and RStudio to
2	4	execute vector algebra	use R and RStudio to
2	5	write and save a code script	use R and RStudio to
2	6	write comments in a code script	use R and RStudio to
2	7	read a data table from a file	use R and RStudio to
2	8	access and understand a function's documentation page	use R and RStudio to
3	1	follow best practices in formatting data tables	
3	2	document steps of a data analysis using metadata and a README file	
3	3	import and export text-based data tables using spreadsheet software	
4	1	"differentiate between vectors, arrays, lists and data frames in R"	
4	2	"differentiate between numeric, character, factor and logical data types in R"	
4	3	view the structure and class of an object in R	
4	4	subset data frames and vectors in R	
4	5	"write logical test expressions using `==`,`!=`, `>`, `<`, and `%in%` "	
5	1	define and use a function with multiple arguments in R	
5	2	define default values for function arguments in R	
5	3	write checks on argument conditions within a function in R	
5	4	differentiate between missing values (`NA`) and empty values (`NULL`) in R	
5	5	use R to source code from a script	
6	1	create a scatter plot with a linear regression line	use the ggplot2 package in R to
6	2	create a line graph	use the ggplot2 package in R to
6	3	create a bar chart with error bars	use the ggplot2 package in R to
6	4	create a stacked bar chart	use the ggplot2 package in R to
6	5	map aesthetics to data values	use the ggplot2 package in R to
6	6	write axis labels with mathematical notation	use the ggplot2 package in R to
6	7	export graphs to a vector-format image with specific dimensions	use the ggplot2 package in R to
7	1	execute if-else statements	use R to
7	2	repeat steps using `for` and `while` loops	use R to
7	3	evaluate expressions using `&` ('and') and `|` ('or')	use R to
8	1	display data in separate panels of a graph using facets	use the ggplot2 package in R to
8	2	add multiple data layers to a plot and change the order in which they are layered	use the ggplot2 package in R to
8	3	"change the scale, limits and breaks on an axis"	use the ggplot2 package in R to
8	4	"change the default fonts, colors, and sizes using a theme"	use the ggplot2 package in R to
8	5	change a discrete and continuous color scale	use the ggplot2 package in R to
8	6	change the text labels in a legend	use the ggplot2 package in R to
8	7	add horizontal and vertical reference lines to a plot	use the ggplot2 package in R to
9	1	`join` two tables using a key	use R to
9	2	`select` columns from a table using matching criteria	use R to
9	3	`filter` rows from a table	use R to
9	4	create new columns with `mutate`	use R to
9	5	calculate summary statistics across factors with `group_by` and `summarize`	use R to
9	6	change the format of a table from long to wide or wide to long with `pivot` functions from the tidyr package	use R to
9	7	compose functions with pipes (`%>%`) 	
0	1	lesson template computing skill 1	
0	2	lesson template computing skill 2	
