chp	objNum	text	prefixText
1	1	describe the structure of the filesystem on a computer	learners will
1	2	use a command line interface to navigate the file system	learners will
1	3	describe the relationship between R and RStudio (an IDE)	learners will
1	4	set up an RStudio project	learners will
2	1	discover why so many scientists use R	learners will
2	2	describe the contents of the windows in an RStudio session	learners will
2	3	install and load packages in R	learners will
2	4	write and save a code script in a project folder	learners will
2	5	read and view tabular data from a file	learners will
2	6	use the console for mathematical calculations	learners will
2	7	state the rules for assigning variables	learners will
2	8	work with vectors	learners will
2	9	learn how to get help and troubleshoot error messages	learners will
3	1	describe best practices in working with data tables	learners will
3	2	understand the structure of a text-based data table file	learners will
3	3	use metadata to understand the contents of a data table	learners will
3	4	utilize quality control features of spreadsheet software to generate clean data	learners will
4	1	describe the main data structures and types in R	learners will
4	2	manipulate and extract values from data frames using base R	learners will
5	1	describe what vectorized functions are and how to use them in R	learners will
5	2	explain how functions work and define and our own functions in R	learners will
5	3	explain why we should divide programs into small single-purpose functions	learners will
6	1	use ggplot2 to generate single-panel graphics with one data layer and one statistic layer	learners will
6	2	"manipulate the aesthetics of a ggplot using different colors, shapes, and lines"	learners will
6	3	use different geometries to change the way data is displayed in a ggplot	learners will
6	4	export graphs in a specific format and size	learners will
7	1	use conditional statements to make data-dependent decisions in R	learners will
7	2	use loops to repeat things in R	learners will
7	3	write expressions containing multiple logical statements in R	learners will
8	1	create multi-panel graphics with multiple data layers using ggplot2	learners will
8	2	describe how position scales control the way axes are displayed in ggplot2	learners will
8	3	describe how themes control the way plots are displayed in ggplot2	learners will
8	4	select inclusive color palettes that are visible to people with impaired  color vision	learners will
8	5	change the default labels in a legend in ggplot2	learners will
8	6	add reference lines to a plot in ggplot2	learners will
9	1	differentiate between longer and wider data formats and explore when to use each	learners will
9	2	"use functions in the dplyr and tidyr R packages to combine, subset, summarize and change the layout of data frames"	learners will
9	3	write multi-step data manipulations by composing functions together with pipes	learners will
0	1	lesson template objective 1	learners will
0	2	lesson template objective 2	learners will
