"HOR.VER","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","soilCO2concentrationMean","soilCO2concentrationExpUncert","finalQF.CO2","soilTempMean","soilTempExpUncert","finalQF.temp"
"003.501","TEAK","003","501",2022-01-01 00:00:00,2022-01-01 00:30:00,2626.9,37.02,0,1.118,0.1364,0
"003.501","TEAK","003","501",2022-01-01 00:30:00,2022-01-01 01:00:00,2629,37.1,0,1.118,0.1364,0
"003.501","TEAK","003","501",2022-01-01 01:00:00,2022-01-01 01:30:00,2630,37.08,0,1.118,0.1364,0
"003.501","TEAK","003","501",2022-01-01 01:30:00,2022-01-01 02:00:00,2628.69,37.04,0,1.119,0.1364,0
"003.501","TEAK","003","501",2022-01-01 02:00:00,2022-01-01 02:30:00,2628,37.03,0,1.119,0.1364,0
"003.501","TEAK","003","501",2022-01-01 02:30:00,2022-01-01 03:00:00,2626.55,37.03,0,1.119,0.1364,0
"003.501","TEAK","003","501",2022-01-01 03:00:00,2022-01-01 03:30:00,2623.62,36.97,0,1.12,0.1364,0
"003.501","TEAK","003","501",2022-01-01 03:30:00,2022-01-01 04:00:00,2620.82,36.89,0,1.12,0.1364,0
"003.501","TEAK","003","501",2022-01-01 04:00:00,2022-01-01 04:30:00,2617.31,36.98,0,1.12,0.1364,0
"003.501","TEAK","003","501",2022-01-01 04:30:00,2022-01-01 05:00:00,2611.95,36.8,0,1.121,0.1364,0
"003.501","TEAK","003","501",2022-01-01 05:00:00,2022-01-01 05:30:00,2603.79,36.77,0,1.121,0.1364,0
"003.501","TEAK","003","501",2022-01-01 05:30:00,2022-01-01 06:00:00,2596.02,36.61,0,1.121,0.1364,0
"003.501","TEAK","003","501",2022-01-01 06:00:00,2022-01-01 06:30:00,2585.53,36.49,0,1.121,0.1364,0
"003.501","TEAK","003","501",2022-01-01 06:30:00,2022-01-01 07:00:00,2571.1,36.27,0,1.121,0.1364,0
"003.501","TEAK","003","501",2022-01-01 07:00:00,2022-01-01 07:30:00,2554.38,36.07,0,1.121,0.1364,0
"003.501","TEAK","003","501",2022-01-01 07:30:00,2022-01-01 08:00:00,2535.35,35.84,0,1.121,0.1364,0
"003.501","TEAK","003","501",2022-01-01 08:00:00,2022-01-01 08:30:00,2515.23,35.59,0,1.121,0.1364,0
