"uid","domainID","siteID","namedLocation","decimalLatitude","decimalLongitude","coordinateUncertainty","geodeticDatum","elevation","elevationUncertainty","aquaticSiteType","collectDate","eventID","boutNumber","sampleID","sampleCode","sampleCondition","geneticSampleID","geneticSampleCode","geneticSampleCond","samplingProtocolVersion","samplingImpractical","biophysicalCriteria","habitatType","samplerType","sampleNumber","substratumSizeClass","benthicArea","ponarDepth","snagLength","snagDiameter","dnaSnagLength","dnaSnagDiameter","remarks","recordedBy","collectedBy","dataQF","publicationDate","release"
"58d6e2f6-a535-4ad2-a1a4-0514659c0dff","D16","MART","MART.AOS.reach",45.790835,-121.933788,1000,"WGS84",337,1000,"stream",2021-07-28 17:33:00,"MART.20210728",2,"MART.20210728.HESS.8","A00000109062",NA,NA,NA,NA,"NEON.DOC.003046vE",NA,"OK - no known exceptions","pool","hess",8,"boulder",0.086,NA,NA,NA,NA,NA,NA,"0000-0003-4404-9917","0000-0001-9713-5304",NA,"20221129T234508Z","RELEASE-2023"
"3be6d5e7-31ec-46e9-be83-402d2567be5c","D16","MART","MART.AOS.reach",45.790835,-121.933788,1000,"WGS84",337,1000,"stream",2021-07-28 17:33:00,"MART.20210728",2,"MART.20210728.SURBER.5","A00000109065",NA,NA,NA,NA,"NEON.DOC.003046vE",NA,"OK - no known exceptions","riffle","surber",5,"cobble",0.093,NA,NA,NA,NA,NA,NA,"0000-0003-4404-9917","0000-0001-9713-5304",NA,"20221129T234508Z","RELEASE-2023"
"37a973e1-1005-45bd-8849-0997088e974e","D16","MART","MART.AOS.reach",45.790835,-121.933788,1000,"WGS84",337,1000,"stream",2021-07-28 17:33:00,"MART.20210728",2,"MART.20210728.SURBER.4","A00000109066",NA,"MART.20210728.SURBER.4.DNA","A00000109070",NA,"NEON.DOC.003046vE",NA,"OK - no known exceptions","riffle","surber",4,"cobble",0.093,NA,NA,NA,NA,NA,NA,"0000-0003-4404-9917","0000-0001-9713-5304",NA,"20221129T234508Z","RELEASE-2023"
"f4f492db-76e1-476a-b6e9-ac61de5e3066","D16","MART","MART.AOS.reach",45.790835,-121.933788,1000,"WGS84",337,1000,"stream",2021-07-28 17:33:00,"MART.20210728",2,"MART.20210728.HESS.6","A00000109064",NA,NA,NA,NA,"NEON.DOC.003046vE",NA,"OK - no known exceptions","pool","hess",6,"cobble",0.086,NA,NA,NA,NA,NA,NA,"0000-0003-4404-9917","0000-0001-9713-5304",NA,"20221129T234508Z","RELEASE-2023"
"63738c13-cd15-46e6-885b-6af1d2b5f760","D16","MART","MART.AOS.reach",45.790835,-121.933788,1000,"WGS84",337,1000,"stream",2021-07-28 17:33:00,"MART.20210728",2,"MART.20210728.SURBER.2","A00000109068",NA,NA,NA,NA,"NEON.DOC.003046vE",NA,"OK - no known exceptions","riffle","surber",2,"cobble",0.093,NA,NA,NA,NA,NA,NA,"0000-0003-4404-9917","0000-0001-9713-5304",NA,"20221129T234508Z","RELEASE-2023"
"782771ef-0c51-4a2e-83f2-56640a801d8b","D16","MART","MART.AOS.reach",45.790835,-121.933788,1000,"WGS84",337,1000,"stream",2021-07-28 17:33:00,"MART.20210728",2,"MART.20210728.HESS.7","A00000109063",NA,NA,NA,NA,"NEON.DOC.003046vE",NA,"OK - no known exceptions","pool","hess",7,"cobble",0.086,NA,NA,NA,NA,NA,NA,"0000-0003-4404-9917","0000-0001-9713-5304",NA,"20221129T234508Z","RELEASE-2023"
"81d02b25-d207-49c1-a3aa-8ba07fcedd14","D16","MART","MART.AOS.reach",45.790835,-121.933788,1000,"WGS84",337,1000,"stream",2021-07-28 17:33:00,"MART.20210728",2,"MART.20210728.SURBER.1","A00000109069",NA,"MART.20210728.SURBER.1.DNA","A00000109087",NA,"NEON.DOC.003046vE",NA,"OK - no known exceptions","riffle","surber",1,"cobble",0.093,NA,NA,NA,NA,NA,NA,"0000-0003-4404-9917","0000-0001-9713-5304",NA,"20221129T234508Z","RELEASE-2023"
"b9eb1b12-1d12-4559-9929-a168e58e4e27","D16","MART","MART.AOS.reach",45.790835,-121.933788,1000,"WGS84",337,1000,"stream",2021-07-28 17:33:00,"MART.20210728",2,"MART.20210728.SURBER.3","A00000109067",NA,"MART.20210728.SURBER.3.DNA","A00000109086",NA,"NEON.DOC.003046vE",NA,"OK - no known exceptions","riffle","surber",3,"cobble",0.093,NA,NA,NA,NA,NA,NA,"0000-0003-4404-9917","0000-0001-9713-5304",NA,"20221129T234508Z","RELEASE-2023"
"c4015deb-876a-49d3-8969-b3754544ea7a","D16","MART","MART.AOS.reach",45.790835,-121.933788,1000,"WGS84",337,1000,"stream",2021-09-27 18:01:00,"MART.20210927",3,"MART.20210927.HESS.3","A00000109071",NA,NA,NA,NA,"NEON.DOC.003046vE",NA,"OK - no known exceptions","pool","hess",3,"cobble",0.086,NA,NA,NA,NA,NA,NA,"0000-0002-2086-5736","0000-0001-9713-5304",NA,"20221129T220224Z","RELEASE-2023"
"3830401c-3cfa-45e4-bf39-82ef7e350566","D16","MART","MART.AOS.reach",45.790835,-121.933788,1000,"WGS84",337,1000,"stream",2021-09-27 18:01:00,"MART.20210927",3,"MART.20210927.SURBER.5","A00000109085",NA,"MART.20210927.SURBER.5.ARC","A00000109103",NA,"NEON.DOC.003046vE",NA,"OK - no known exceptions","riffle","surber",5,"cobble",0.093,NA,NA,NA,NA,NA,NA,"0000-0002-2086-5736","0000-0001-9713-5304",NA,"20221129T220224Z","RELEASE-2023"
