domainID,siteID,horizontalPosition,verticalPosition,startDateTime,endDateTime,surfWaterTempMean,surfWaterTempMinimum,surfWaterTempMaximum,surfWaterTempVariance,surfWaterTempNumPts,surfWaterTempExpUncert,surfWaterTempStdErMean,finalQF,publicationDate,release
"D16","MART","111","100",2024-01-01T00:00:00Z,2024-01-01T00:30:00Z,5.826,5.819,5.833,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T00:30:00Z,2024-01-01T01:00:00Z,5.819,5.81,5.828,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T01:00:00Z,2024-01-01T01:30:00Z,5.806,5.794,5.817,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T01:30:00Z,2024-01-01T02:00:00Z,5.794,5.786,5.801,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T02:00:00Z,2024-01-01T02:30:00Z,5.779,5.767,5.791,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T02:30:00Z,2024-01-01T03:00:00Z,5.758,5.744,5.772,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T03:00:00Z,2024-01-01T03:30:00Z,5.738,5.731,5.748,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T03:30:00Z,2024-01-01T04:00:00Z,5.729,5.719,5.737,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T04:00:00Z,2024-01-01T04:30:00Z,5.714,5.704,5.724,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T04:30:00Z,2024-01-01T05:00:00Z,5.703,5.695,5.71,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T05:00:00Z,2024-01-01T05:30:00Z,5.686,5.673,5.7,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T05:30:00Z,2024-01-01T06:00:00Z,5.668,5.656,5.678,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T06:00:00Z,2024-01-01T06:30:00Z,5.653,5.644,5.662,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T06:30:00Z,2024-01-01T07:00:00Z,5.642,5.631,5.652,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T07:00:00Z,2024-01-01T07:30:00Z,5.625,5.612,5.637,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
"D16","MART","111","100",2024-01-01T07:30:00Z,2024-01-01T08:00:00Z,5.6,5.576,5.617,0,1800,0.139,0,0,"20251209T021431Z","RELEASE-2026"
