id,parentIssueID,issueDate,resolvedDate,dateRangeStart,dateRangeEnd,locationAffected,issue,resolution
6326,NA,"2018-12-10T00:00:00Z","2018-12-10T00:00:00Z","2018-11-01T00:00:00Z","2018-12-10T00:00:00Z","All","Taxonomic synonomy","As of November 2018, taxonomists at EcoAnalysts, Inc. began using the scientificName Neoleptophlebia sp. This genus is a synonym for some members of the genus Paraleptophlebia (Tiunova and Kluge 2016). Neoleptophlebia sp. is more common in NEON samples than Paraleptophlebia sp."
16338,NA,"2020-10-20T00:00:00Z","2018-01-01T00:00:00Z","2014-07-01T00:00:00Z","2018-01-01T00:00:00Z","All","No Standard Taxonomic Effort: External taxonomy labs not using standard taxonomic effort","External labs began using standardized taxonomic effort for identification targets, references, and measurement."
16339,NA,"2020-10-20T00:00:00Z","2020-12-31T00:00:00Z","2014-07-01T00:00:00Z","2020-12-31T00:00:00Z","BARC, CRAM, LIRO, PRLA, PRPO, SUGG, TOOK","Inlet Outlet Names: Near-shore sampling locations in all lake sites were named 'inlet' and 'outlet' even if the site was a seepage lake that has no single inlet or outlet.","Near-shore collection sites at seepage lakes are now called 'littoral1' and 'littoral2', where 'littoral1' corresponds to previous site name 'inlet' and 'littoral2' corresponds to previous site name 'outlet'."
17916,NA,"2021-01-06T00:00:00Z","2021-12-31T00:00:00Z","2020-03-23T00:00:00Z","2021-12-31T00:00:00Z","All","Safety measures to protect personnel during the COVID-19 pandemic resulted in reduced or canceled sampling activities for extended periods at NEON sites. Data availability may be reduced during this time.","The primary impact of the pandemic on observational data was reduced data collection. Training procedures and data quality reviews were maintained throughout the pandemic, although some previously in-person training was conducted virtually.  Scheduled measurements and sampling that were not carried out due to COVID-19 or any other causes are indicated in data records via the samplingImpractical data field."
23409,NA,"2021-05-26T00:00:00Z","2022-01-20T00:00:00Z","2014-07-01T00:00:00Z","2019-12-01T00:00:00Z","All","Duplicated field data: Records in `inv_fieldData` are published in duplicate for all aquatic sites for 2014-2019 due to a publishing error. These will be fixed for the 2022 release","Duplicates removed from field data table and published with the 2022 data release."
38506,NA,"2021-12-09T00:00:00Z","2021-12-31T00:00:00Z","2012-01-01T00:00:00Z","2021-12-31T00:00:00Z","All","State-level taxa obfuscation: Prior to the 2022 data release, publication of species identifications were obfuscated to a higher taxonomic rank when the taxon was found to be listed as threatened, endangered, or sensitive at the state level where the observation was recorded. Obfuscating state-listed taxa has created challenges for data users studying biodiversity.","The state-level obfuscation routine was removed from the data publication process at all locations excluding sites located in D01 and D20. Data have been reprocessed to remove the obfuscation of state-listed taxa. Federally listed threatened and endangered or sensitive species remain obfuscated at all sites and sensitive species remain redacted at National Park sites."
68016,NA,"2022-09-13T00:00:00Z","2022-10-31T00:00:00Z","2020-03-23T00:00:00Z","2022-12-31T00:00:00Z","OKSR, TOOK","Toolik Field Station required a quarantine period prior to starting work in the 2020, 2021, and 2022 field seasons to protect all personnel during the COVID-19 pandemic. This complicated NEON field scheduling logistics, which typically involves repeated travel across the state on short time frames. Consequently, NEON reduced staff traveling to Toolik and was thus unable to complete all planned sampling efforts. Missed data collection events are indicated in data records via the samplingImpractical field.","The quarantine policy at Toolik Field Station ended after the 2022 field season."
68017,NA,"2022-09-13T00:00:00Z","2022-10-31T00:00:00Z","2022-06-12T00:00:00Z","2022-10-31T00:00:00Z","BLDE","Severe flooding destroyed several roads into Yellowstone National Park in June 2022, making the YELL and BLDE sites inaccessible to NEON staff. Observational data collection was halted during this time. Canceled data collection events are indicated in data records via the samplingImpractical field.","Normal operations resumed on October 31, 2022, when the National Park Service opened a newly constructed road from Gardiner, MT to Mammoth, WY with minimal restrictions. For more details about data impacts, see Data Notification https://www.neonscience.org/impact/observatory-blog/data-impacts-neons-yellowstone-sites-yell-blde-due-catastrophic-flooding-0"
73905,NA,"2022-11-15T00:00:00Z","2022-10-20T00:00:00Z","2017-01-01T00:00:00Z","2022-10-20T00:00:00Z","TOOK","Incorrect namedlocation: The incorrect named location was published for littoral surface water, biological, and sediment sampling at Toolik Lake.","Data collected in this data product through the resolution date with **namedLocation** equal to TOOK.AOS.littoral1 was edited to equal TOOK.AOS.littoral3."
78904,NA,"2023-05-09T00:00:00Z","2023-12-31T00:00:00Z","2012-01-01T00:00:00Z","2023-04-25T00:00:00Z","HOPB","D01 state-level taxa obfuscation: Prior to the 2024 data release, publication of species identifications were obfuscated to a higher taxonomic rank when the taxon was found to be listed as threatened, endangered, or sensitive by any state within the domain. Obfuscating state-listed taxa across an entire domain has created challenges for data users studying biodiversity.","To reduce the number of records in which taxonomic identifications are obfuscated in D01, the state-level obfuscation routine has been applied to data using site-level granularity as of 25 April 2023. Previously published data have been reprocessed using the more precise obfuscation routine for the 2024 data release and onward. Federally listed threatened and endangered or sensitive species remain obfuscated at all sites."
84406,NA,"2023-12-22T00:00:00Z","2024-01-01T00:00:00Z","2012-01-01T00:00:00Z","2023-01-01T00:00:00Z","All","Identification history: updates to taxonomic determinations were not previously tracked.","In provisional data, RELEASE-2024, and all subsequent releases, if taxonomic determinations are updated for any records, past determinations are archived in the `inv_identificationHistory` table, where the archived determinations are linked to current records using identificationHistoryID."
102404,NA,"2025-07-03T00:00:00Z","2023-08-07T00:00:00Z","2021-07-28T00:00:00Z","2023-08-07T00:00:00Z","All","Taxonomy lab switch: NEON expert macroinvertebrate identification is conducted by external laboratories. After working with one lab for many years to identify and enumerate macroinvertebrates, results of a competitive process resulted in selection of a second lab to conduct these analyses starting in 2023.","Lab methods remained largely the same between labs. No impact to data quality is expected as a result of this lab change."
103706,NA,"2025-09-04T00:00:00Z","2025-12-31T00:00:00Z","2014-07-01T00:00:00Z","2024-12-31T00:00:00Z","All","Missing vial location metadata: Metadata to map macroinvertebrate vial locations was not included in the inv_taxonomyProcessed and inv_taxonomyRaw tables when downloading the expanded package.","Metadata fields to better map vials archived at the NEON Biorepository to data on the NEON portal were added to the inv_taxonomyProcessed and inv_taxonomyRaw tables when the expanded package is downloaded, including the vialID (matches the container in inv_persample), referenceCollection, referenceID, and referenceCount fields. Data for the referenceID and referenceCount will no longer be recorded in the inv_pervial table, and have been added to all previous years of data starting with the 2026 data release."
109306,NA,"2026-01-12T00:00:00Z","2026-01-01T00:00:00Z","2014-07-01T00:00:00Z","2026-01-01T00:00:00Z","PRLA","Sensor set location change: The PRLA littoral 1 sensor set was relocated per NEON’s engineering team.","The PRLA littoral 1 sensor set moved closer to shore to a shallower location, affecting all samples collected at the lit1 location after January 1, 2026."
112004,NA,"2026-03-20T00:00:00Z","2026-01-01T00:00:00Z","2014-07-01T00:00:00Z","2026-01-01T00:00:00Z","All","Updated sampling window dates: Biology sampling windows were established using USGS streamflow data from nearby “proxy” sites, mean daily air temperature (NOAA NCDC [NCEI] datasets) to calculate growing degree days (centering around 10%, 50%, and 90% gdd) and the MODIS dataset to estimate riparian greenness (green-up and brown-down).","Aquatic biology sampling windows for stream, lake, and river sites were updated starting January 2026. Original windows were established using publicly available local air temperature data and proxy discharge data from nearby streams. Starting in 2026, bout windows were recalculated using NEON’s discharge (DP4.00130.001) and air temperature (DP1.00002.001) data through the end of 2024, and MODIS data from 2001-2024, to create 1 month sampling windows. Bout windows will be reassessed using NEON data on a 5-year interval. For bout window rule sets and methodological justification, see Parker, S. M., & Utz, R. M. (2022). Temporal design for aquatic organismal sampling across the National Ecological Observatory Network. Methods in Ecology and Evolution, 13, 1834–1848. https://doi.org/10.1111/2041-210X.13944"
112210,112004,"2026-03-20T00:00:00Z","2026-01-01T00:00:00Z","2014-07-01T00:00:00Z","2026-01-01T00:00:00Z","All","Updated sampling window dates: Biology sampling windows were established using USGS streamflow data from nearby “proxy” sites, mean daily air temperature (NOAA NCDC [NCEI] datasets) to calculate growing degree days (centering around 10%, 50%, and 90% gdd) and the MODIS dataset to estimate riparian greenness (green-up and brown-down).","Aquatic biology sampling windows for stream, lake, and river sites were updated starting January 2026. Original windows were established using publicly available local air temperature data and proxy discharge data from nearby streams. Starting in 2026, bout windows were recalculated using NEON’s discharge (DP4.00130.001) and air temperature (DP1.00002.001) data through the end of 2024, and MODIS data from 2001-2024, to create 1 month sampling windows. Bout windows will be reassessed using NEON data on a 5-year interval. For bout window rule sets and methodological justification, see Parker, S. M., & Utz, R. M. (2022). Temporal design for aquatic organismal sampling across the National Ecological Observatory Network. Methods in Ecology and Evolution, 13, 1834–1848. https://doi.org/10.1111/2041-210X.13944"
