"uid","domainID","siteID","namedLocation","collectDate","identifiedDate","sampleID","sampleCode","slideID","acceptedTaxonID","targetTaxaPresent","scientificName","morphospeciesID","taxonRank","phylum","subphylum","class","subclass","infraclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","subtribe","genus","specificEpithet","infraspecificEpithet","invertebrateLifeStage","sizeClass","sizeCategory","individualCount","subsamplePercent","estimatedTotalCount","immatureSpecimen","indeterminateSpecies","sampleCondition","distinctTaxon","identificationQualifier","identificationReferences","qcChecked","laboratoryName","identifiedBy","identificationRemarks","dataQF","publicationDate","release"
"03bc2ed8-f1f2-416b-a066-6041e5881064","D16","MART","MART.AOS.reach",2021-07-28 17:33:00,2022-01-13,"MART.20210728.HESS.7","A00000109063",NA,"ORTSP3","Y","Orthocladius sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",NA,"Chironomidae","Orthocladiinae",NA,NA,"Orthocladius","sp.",NA,"larva",3,NA,1,60,2,"N","N","condition OK","Y",NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",NA,NA,"20221129T234508Z","RELEASE-2023"
"d2da4eb0-8ce8-48bf-b2a6-43c41da49358","D16","MART","MART.AOS.reach",2021-07-28 17:33:00,2022-01-13,"MART.20210728.SURBER.2","A00000109068",NA,"PARSP29","Y","Parorthocladius sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",NA,"Chironomidae","Orthocladiinae",NA,NA,"Parorthocladius","sp.",NA,"larva",2,NA,1,100,1,"N","N","condition OK","Y",NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",NA,NA,"20221129T234508Z","RELEASE-2023"
"0cd5566c-e55a-458d-ba9f-46ca0ecd2cbc","D16","MART","MART.AOS.reach",2021-07-28 17:33:00,2022-01-13,"MART.20210728.HESS.6","A00000109064",NA,"SIASP1","Y","Sialis sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Neuropterida","Megaloptera",NA,NA,NA,"Sialidae",NA,NA,NA,"Sialis","sp.",NA,"larva",3,NA,3,100,3,"N","N","condition OK","Y",NA,"Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T234508Z","RELEASE-2023"
"19d1fdba-9b6d-446d-ad71-42d99c5cf2a0","D16","MART","MART.AOS.reach",2021-07-28 17:33:00,2022-01-13,"MART.20210728.HESS.6","A00000109064",NA,"AFGSP","Y","Afghanurus sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",NA,"Ephemeroptera","Pisciforma",NA,"Heptagenioidea","Heptageniidae",NA,NA,NA,"Afghanurus","sp.",NA,"larva",4,NA,1,100,1,"N","N","condition OK","Y",NA,"Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T234508Z","RELEASE-2023"
"4a72818f-8501-4969-936a-ce21ccb09c16","D16","MART","MART.AOS.reach",2021-07-28 17:33:00,2022-01-12,"MART.20210728.SURBER.3","A00000109067",NA,"RHYBET","Y","Rhyacophila betteni gr.",NA,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",NA,NA,"Rhyacophiloidea","Rhyacophilidae",NA,NA,NA,"Rhyacophila","betteni gr.",NA,"larva",5,NA,1,50,2,"N","N","condition OK","Y",NA,"Prather and Morris 2001; Morse et al. 2017; Giersch et al. 2012","Y","Rhithron Associates, Inc.","J. Webb",NA,NA,"20221129T234508Z","RELEASE-2023"
"abaa91fb-364c-45d1-8c31-61c901651a49","D16","MART","MART.AOS.reach",2021-07-28 17:33:00,2022-01-13,"MART.20210728.HESS.7","A00000109063","BA21NEOMST15007O1","NAISP","Y","Naididae sp.",NA,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",NA,NA,"Tubificida",NA,NA,NA,"Naididae",NA,NA,NA,NA,"sp.",NA,"none",9,NA,1,60,2,"Y","N","condition OK","Y",NA,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender","Rhyacodrilinae/Tubificinae w/ HC",NA,"20221129T234508Z","RELEASE-2023"
"8da3ff11-de2a-499d-a26b-266c23da24d6","D16","MART","MART.AOS.reach",2021-07-28 17:33:00,2022-01-13,"MART.20210728.HESS.8","A00000109062",NA,"PROSP37","Y","Prostoma sp.",NA,"genus","Nemertea",NA,"Enopla",NA,NA,NA,"Hoplonemertea","Monostilifera",NA,NA,"Tetrastemmatidae",NA,NA,NA,"Prostoma","sp.",NA,"none",1,NA,1,100,1,"N","N","condition OK","Y",NA,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","B. Moore",NA,NA,"20221129T234508Z","RELEASE-2023"
"4c1bee27-f529-4513-9857-deede1423865","D16","MART","MART.AOS.reach",2021-07-28 17:33:00,2022-01-12,"MART.20210728.SURBER.3","A00000109067",NA,"DIPHAG","Y","Diphetor hageni",NA,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",NA,"Ephemeroptera","Pisciforma",NA,NA,"Baetidae",NA,NA,NA,"Diphetor","hageni",NA,"larva",1,NA,36,50,72,"N","N","condition OK","Y",NA,"Morihara and McCafferty 1987; Meyer and McCafferty 2001; Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",NA,NA,"20221129T234508Z","RELEASE-2023"
"c74279bb-c9fc-4c28-9da0-a9571eb5905c","D16","MART","MART.AOS.reach",2021-07-28 17:33:00,2022-01-11,"MART.20210728.SURBER.5","A00000109065",NA,"EPHSP","Y","Ephemeroptera sp.",NA,"order","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",NA,"Ephemeroptera",NA,NA,NA,NA,NA,NA,NA,NA,"sp.",NA,"larva",1,NA,1,100,1,"Y","N","condition OK","N",NA,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",NA,NA,"20221129T234508Z","RELEASE-2023"
"62f9569e-3455-45e3-aa9f-8c14a25d720c","D16","MART","MART.AOS.reach",2021-07-28 17:33:00,2022-01-13,"MART.20210728.HESS.7","A00000109063",NA,"HELSP10","Y","Heleniella sp.",NA,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",NA,"Chironomidae","Orthocladiinae",NA,NA,"Heleniella","sp.",NA,"larva",3,NA,1,60,2,"N","N","condition OK","Y",NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",NA,NA,"20221129T234508Z","RELEASE-2023"
