These data were downloaded from the NEON Data Portal on 2021-07-03. They contain data from the surface water nitrate sensor at the TECR site in 2021.,,,,,
,,,,,
siteID,horizontalPosition,verticalPosition,startDateTime,endDateTime,mean nitrate +/- uncertainty
TECR,102,100,4/1/2021 0:00,4/1/2021 0:15,2 +/- 1.33
TECR,102,100,4/1/2021 0:15,4/1/2021 0:30,2.1 +/- 1.33
TECR,102,100,4/1/2021 0:30,4/1/2021 0:45,2.1 +/- 1.33
TECR,102,100,4/1/2021 0:45,4/1/2021 1:00,2.1 +/- 1.33
TECR,102,100,4/1/2021 1:00,4/1/2021 1:15,2.1 +/- 1.33
TECR,102,100,4/1/2021 1:15,4/1/2021 1:30,2.2 +/- 1.33
TECR,102,100,4/1/2021 1:30,4/1/2021 1:45,2.2 +/- 1.33
TECR,102,100,4/1/2021 1:45,4/1/2021 2:00,2.2 +/- 1.33
TECR,102,100,4/1/2021 2:00,4/1/2021 2:15,2.2 +/- 1.33
TECR,102,100,4/1/2021 2:15,4/1/2021 2:30,2.3 +/- 1.33
TECR,102,100,4/1/2021 2:30,4/1/2021 2:45,2.3 +/- 1.33
TECR,102,100,4/1/2021 2:45,4/1/2021 3:00,2.3 +/- 1.33
TECR,102,100,4/1/2021 3:00,4/1/2021 3:15,2.3 +/- 1.33
TECR,102,100,4/1/2021 3:15,4/1/2021 3:30,2.3 +/- 1.33
TECR,102,100,4/1/2021 3:30,4/1/2021 3:45,2.3 +/- 1.33
TECR,102,100,4/1/2021 3:45,4/1/2021 4:00,2.3 +/- 1.33
TECR,102,100,4/1/2021 4:00,4/1/2021 4:15,2.3 +/- 1.33
TECR,102,100,4/1/2021 4:15,4/1/2021 4:30,2.3 +/- 1.33
TECR,102,100,4/1/2021 4:30,4/1/2021 4:45,2.3 +/- 1.33
TECR,102,100,4/1/2021 4:45,4/1/2021 5:00,2.3 +/- 1.33
TECR,102,100,4/1/2021 5:00,4/1/2021 5:15,2.4 +/- 1.33
TECR,102,100,4/1/2021 5:15,4/1/2021 5:30,2.4 +/- 1.33
TECR,102,100,4/1/2021 5:30,4/1/2021 5:45,2.4 +/- 1.33
TECR,102,100,4/1/2021 5:45,4/1/2021 6:00,2.4 +/- 1.33
TECR,102,100,4/1/2021 6:00,4/1/2021 6:15,2.4 +/- 1.33
TECR,102,100,4/1/2021 6:15,4/1/2021 6:30,2.4 +/- 1.33
TECR,102,100,4/1/2021 6:30,4/1/2021 6:45,2.4 +/- 1.33
TECR,102,100,4/1/2021 6:45,4/1/2021 7:00,2.4 +/- 1.33
