name,pubCode,description,startDate,endDate
"ais.biofouling","None","None - no visible biological or mineral build-up when wiped",2012-01-01T00:00:00Z,NA
"ais.biofouling","Light","Light - visible biological or mineral build-up that can be easily removed with a soft wipe",2012-01-01T00:00:00Z,NA
"ais.biofouling","Heavy","Heavy - prominent biological or mineral build-up that requires additional cleaning beyond a soft wipe, such as a solvent or scrubbing",2012-01-01T00:00:00Z,NA
"ais.calSuccess","BDL – Comparison not possible","BDL – Comparison not possible",2012-01-01T00:00:00Z,NA
"ais.calSuccess","comparison successful","comparison successful",2012-01-01T00:00:00Z,NA
"ais.calSuccess","comparison unsuccessful","comparison unsuccessful",2012-01-01T00:00:00Z,NA
"ais.calSuccess","comparison unsuccessful, s2 BDL, s1 above BDL","comparison unsuccessful, s2 BDL, s1 above BDL",2012-01-01T00:00:00Z,NA
"ais.calSuccess","comparison unsuccessful, s1 BDL, s2 above BDL","comparison unsuccessful, s1 BDL, s2 above BDL",2012-01-01T00:00:00Z,NA
"ais.clarityLevel","Transparent","Transparent",2012-01-01T00:00:00Z,NA
"ais.clarityLevel","Some Sediment","Some Sediment",2012-01-01T00:00:00Z,NA
"ais.clarityLevel","High Sediment","High Sediment",2012-01-01T00:00:00Z,NA
"ais.clarityLevel","Cloudy/Organics","Cloudy/Organics",2012-01-01T00:00:00Z,NA
"ais.feature","Benchmark","Benchmark",2012-01-01T00:00:00Z,NA
"ais.feature","Level Troll","Level Troll",2012-01-01T00:00:00Z,NA
"ais.feature","Sonde","Sonde",2012-01-01T00:00:00Z,NA
"ais.feature","SUNA","SUNA",2012-01-01T00:00:00Z,NA
"ais.feature","PAR","PAR",2012-01-01T00:00:00Z,NA
"ais.feature","Inlet","Inlet",2012-01-01T00:00:00Z,NA
"ais.feature","Outlet","Outlet",2012-01-01T00:00:00Z,NA
"ais.feature","Groundwater Well","Groundwater Well",2012-01-01T00:00:00Z,NA
"ais.feature","Met Station","Met Station",2012-01-01T00:00:00Z,NA
"ais.feature","Staff Gauge","Staff Gauge",2012-01-01T00:00:00Z,NA
"ais.feature","NADP","NADP",2012-01-01T00:00:00Z,NA
"ais.feature","Primary/Secondary Pricip","Primary/Secondary Pricip",2012-01-01T00:00:00Z,NA
"ais.feature","Portal","Portal",2012-01-01T00:00:00Z,NA
"ais.feature","Camera","Camera",2012-01-01T00:00:00Z,NA
"ais.feature","Surface Water Troll","Surface Water Troll",2012-01-01T00:00:00Z,NA
"ais.feature","Discharge Transect","Discharge Transect",2012-01-01T00:00:00Z,NA
"ais.feature","Other","Other",2012-01-01T00:00:00Z,NA
"ais.groundwaterCapType","regular","regular",2012-01-01T00:00:00Z,NA
"ais.groundwaterCapType","snorkel","snorkel",2012-01-01T00:00:00Z,NA
"ais.groundwaterMove","up","up",2012-01-01T00:00:00Z,NA
"ais.groundwaterMove","down","down",2012-01-01T00:00:00Z,NA
"ais.gwInspectionImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,NA
"ais.gwInspectionImpractical","location covered in snow","location covered in snow",2012-01-01T00:00:00Z,NA
"ais.gwInspectionImpractical","lid or lock damage","lid or lock damage",2012-01-01T00:00:00Z,NA
"ais.gwInspectionImpractical","location dry","location dry",2012-01-01T00:00:00Z,NA
"ais.gwInspectionImpractical","clarity checked on separate visit","clarity checked on separate visit",2012-01-01T00:00:00Z,NA
