id,parentIssueID,issueDate,resolvedDate,dateRangeStart,dateRangeEnd,locationAffected,issue,resolution
1020,NA,"2018-02-05T00:00:00Z","2017-11-07T00:00:00Z","2017-10-30T00:00:00Z","2017-11-07T00:00:00Z","HOPB","S2 submerged and sensor position altered due to infrastructure damage from high flow event. Data are still usable.","Sensor offline while site awaits repair."
1817,NA,"2018-03-27T00:00:00Z","2018-03-27T00:00:00Z","2018-02-21T00:00:00Z","2018-02-26T00:00:00Z","PRIN (101.100)","Infrastructure damage to S1 from high flow event and calibration not verified prior to site repair.","Manual flagging applied. Sensor offline while site awaits repair."
1818,NA,"2018-03-27T00:00:00Z","2018-03-27T00:00:00Z","2018-02-21T00:00:00Z","2018-03-22T00:00:00Z","PRIN (102.100)","Infrastructure damage to S2 from high flow event and calibration not verified prior to site repair.","Manual flagging applied. Sensor offline while site awaits repair."
1845,NA,"2018-04-05T00:00:00Z","2018-04-05T00:00:00Z","2018-03-27T00:00:00Z","2018-03-28T00:00:00Z","CUPE (101.100; 102.100)","infrastructure were damaged due to flooding.","Manual flagging applied. Sensor offline while site awaits repair."
3223,NA,"2018-06-13T00:00:00Z","2018-06-13T00:00:00Z","2018-04-26T00:00:00Z","2018-06-14T00:00:00Z","MART (HOR.VER: 101.100)","PRT became partially exposed as water receded and sensors were not yet lowered.","Manual flagging applied. Sensors to be lowered back into water."
6126,NA,"2018-11-30T00:00:00Z","2018-11-30T00:00:00Z","2018-06-23T00:00:00Z","2018-06-26T00:00:00Z","PRIN (HOR.VER: 101.100)","PRT became at least partially exposed as water receded and sensors were not yet lowered.","Manual flagging applied."
6127,6126,"2018-11-30T00:00:00Z","2018-11-30T00:00:00Z","2018-05-16T00:00:00Z","2018-09-01T00:00:00Z","PRIN (HOR.VER: 102.100)","PRT became at least partially exposed as water receded and sensors were not yet lowered.","Manual flagging applied."
6131,NA,"2018-12-02T00:00:00Z","2018-12-02T00:00:00Z","2018-02-01T00:00:00Z","2018-08-01T00:00:00Z","SYCA (HOR.VER: 101.100 and 102.100)","PRT became at least partially exposed.","Manual flagging applied."
6227,6131,"2018-12-02T00:00:00Z","2018-12-02T00:00:00Z","2018-06-14T00:00:00Z","2018-09-02T00:00:00Z","MART(HOR.VER: 101.100)","PRT became at least partially exposed.","Manual flagging applied."
6230,NA,"2018-12-04T00:00:00Z","2018-12-04T00:00:00Z","2017-09-01T00:00:00Z","2018-09-01T00:00:00Z","ARIK (HOR.VER: 101.100 and 102.100)","PRT became at 101.100 was least partially exposed. PRT at 102.100 has incorrect calibration coefficients.","Manual flagging applied."
6231,6131,"2018-12-02T00:00:00Z","2018-12-02T00:00:00Z","2017-04-01T00:00:00Z","2018-11-01T00:00:00Z","MCDI (HOR.VER: 101.100)","PRT became at least partially exposed.","Manual flagging applied."
