domainID,siteID,HOR.VER,sensorLocationID,sensorLocationDescription,positionStartDateTime,positionEndDateTime,referenceLocationID,referenceLocationIDDescription,referenceLocationIDStartDateTime,referenceLocationIDEndDateTime,xOffset,yOffset,zOffset,pitch,roll,azimuth,locationReferenceLatitude,locationReferenceLongitude,locationReferenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth,publicationDate,release
"D16","MART","101.100","CFGLOC103959.PRT","Martha Creek Water Temperature S1",2010-01-01T00:00:00Z,2021-09-15T11:00:00Z,"CFGLOC103959","Martha Creek Water Chemistry and Temperature S1",2010-01-01T00:00:00Z,2018-06-05T23:59:59Z,0.05,0,-0.06,0,0,0,45.790818,-121.933512,344.31,0.05,0,0,0,"20251209T040147Z","RELEASE-2026"
"D16","MART","101.100","CFGLOC103959.PRT","Martha Creek Water Temperature S1",2010-01-01T00:00:00Z,2021-09-15T11:00:00Z,"CFGLOC103959","Martha Creek Water Chemistry and Temperature S1",2018-06-06T00:00:00Z,2019-05-08T23:59:59Z,0.05,0,-0.06,0,0,0,45.790818,-121.933512,344.31,0.05,0,0,0,"20251209T040147Z","RELEASE-2026"
"D16","MART","101.100","CFGLOC103959.PRT","Martha Creek Water Temperature S1",2010-01-01T00:00:00Z,2021-09-15T11:00:00Z,"CFGLOC103959","Martha Creek Water Chemistry and Temperature S1",2019-05-09T00:00:00Z,2021-09-15T11:00:00Z,0.05,0,-0.06,0,0,0,45.790786,-121.933952,348.45,0.05,0,0,0,"20251209T040147Z","RELEASE-2026"
"D16","MART","101.100","CFGLOC103959","Martha Creek Water Chemistry and Temperature S1",2010-01-01T00:00:00Z,2018-06-05T23:59:59Z,"CFGLOC103959","Martha Creek Water Chemistry and Temperature S1",2010-01-01T00:00:00Z,2018-06-05T23:59:59Z,0.07,0.16,0.13,0,0,0,45.790818,-121.933512,344.31,0.07,0.16,0,0,"20251209T040147Z","RELEASE-2026"
"D16","MART","101.100","CFGLOC103959","Martha Creek Water Chemistry and Temperature S1",2018-06-06T00:00:00Z,2019-05-08T23:59:59Z,"CFGLOC103959","Martha Creek Water Chemistry and Temperature S1",2018-06-06T00:00:00Z,2019-05-08T23:59:59Z,0.07,0.16,0.06,0,0,0,45.790818,-121.933512,344.31,0.07,0.16,0,0,"20251209T040147Z","RELEASE-2026"
"D16","MART","101.100","CFGLOC103959","Martha Creek Water Chemistry and Temperature S1",2019-05-09T00:00:00Z,2021-09-15T11:00:00Z,"CFGLOC103959","Martha Creek Water Chemistry and Temperature S1",2019-05-09T00:00:00Z,2021-09-15T11:00:00Z,0.05,0,-0.06,0,0,0,45.790786,-121.933952,348.45,0.05,0,0,0,"20251209T040147Z","RELEASE-2026"
"D16","MART","102.100","CFGLOC103963.PRT","Martha Creek Water Temperature S2",2010-01-01T00:00:00Z,2021-09-15T11:00:00Z,"CFGLOC103963","Martha Creek Water Chemistry and Temperature S2",2010-01-01T00:00:00Z,2018-07-23T23:59:59Z,0.05,0,-0.06,0,0,0,45.79232,-121.929,336.85,0.05,0,0,0,"20251209T040147Z","RELEASE-2026"
"D16","MART","102.100","CFGLOC103963.PRT","Martha Creek Water Temperature S2",2010-01-01T00:00:00Z,2021-09-15T11:00:00Z,"CFGLOC103963","Martha Creek Water Chemistry and Temperature S2",2018-07-24T00:00:00Z,2019-01-27T23:59:59Z,0.05,0,-0.06,0,0,0,45.79232,-121.929,336.85,0.05,0,0,0,"20251209T040147Z","RELEASE-2026"
"D16","MART","102.100","CFGLOC103963.PRT","Martha Creek Water Temperature S2",2010-01-01T00:00:00Z,2021-09-15T11:00:00Z,"CFGLOC103963","Martha Creek Water Chemistry and Temperature S2",2019-01-28T00:00:00Z,2019-05-08T23:59:59Z,0.05,0,-0.06,0,0,0,45.79232,-121.929,336.85,0.05,0,0,0,"20251209T040147Z","RELEASE-2026"
"D16","MART","102.100","CFGLOC103963.PRT","Martha Creek Water Temperature S2",2010-01-01T00:00:00Z,2021-09-15T11:00:00Z,"CFGLOC103963","Martha Creek Water Chemistry and Temperature S2",2019-05-09T00:00:00Z,2021-09-15T11:00:00Z,0.05,0,-0.06,0,0,0,45.792324,-121.929415,337.13,0.05,0,0,0,"20251209T040147Z","RELEASE-2026"
