uid,domainID,siteID,namedLocation,collectDate,sortDate,qcSortDate,sampleID,sampleCode,mixedInvertVialID,mixedInvertVialCode,chironomidVialID,chironomidVialCode,oligochaeteVialID,oligochaeteVialCode,largeInvertVialID,largeInvertVialCode,testProtocolVersion,primaryMatrix,preRinseVolume,postRinseVolume,subsamplePercent,qcSortingEfficacy,qcIterationCount,qcPercentSimilarity,laboratoryName,sortedBy,qcSortedBy,benchRemarks,dataQF,qcEnumerationDifference,qcTaxonomicDifference,publicationDate,release
"8221d731-ed12-4e77-b998-f33ffe774a01","D16","MART","MART.AOS.reach",2024-07-23T16:11:00Z,2025-06-11,2025-06-12,"MART.20240723.HESS.2","A00000297039","BA24NEOMST11002GA",NA,"BA24NEOMST11002C",NA,NA,NA,NA,NA,"RHITHRON_Macroinvertebrate_Identification_Revision3","fine organic",NA,NA,27,98.8,1,NA,"Rhithron Associates, Inc.","jrNz6zwqS3Q=","yZFSmq1jJzE=",NA,NA,NA,NA,"20251209T224819Z","RELEASE-2026"
"e4312c4d-863e-43a8-a142-a22910b08b85","D16","MART","MART.AOS.reach",2024-07-23T16:11:00Z,2025-06-11,2025-06-12,"MART.20240723.SURBER.3","A00000297069","BA24NEOMST11006GA",NA,"BA24NEOMST11006C",NA,NA,NA,NA,NA,"RHITHRON_Macroinvertebrate_Identification_Revision3","coarse organic",NA,NA,43,92.3,1,NA,"Rhithron Associates, Inc.","EqkkjpL9h5v3UmhkL0oGpA==","LOdFES9HN1w=",NA,NA,NA,NA,"20251209T224819Z","RELEASE-2026"
"f518b35f-fde3-4e84-aec7-7583aeb9435a","D16","MART","MART.AOS.reach",2024-07-23T16:11:00Z,2025-06-12,2025-06-12,"MART.20240723.SURBER.4","A00000297038","BA24NEOMST11007GA",NA,"BA24NEOMST11007C",NA,NA,NA,NA,NA,"RHITHRON_Macroinvertebrate_Identification_Revision3","coarse organic",NA,NA,70,100,1,NA,"Rhithron Associates, Inc.","kcNHfEa00olgOMivYV39aQ==","egCH3wedmfhvZrvQbyFP8Q==",NA,NA,NA,NA,"20251209T224819Z","RELEASE-2026"
"a1d797fb-edef-4fca-9d0e-dee51ced11b5","D16","MART","MART.AOS.reach",2024-07-23T16:11:00Z,2025-06-11,2025-06-12,"MART.20240723.SURBER.1","A00000297037","BA24NEOMST11004GA",NA,"BA24NEOMST11004C",NA,NA,NA,NA,NA,"RHITHRON_Macroinvertebrate_Identification_Revision3","fine organic",NA,NA,43,100,1,NA,"Rhithron Associates, Inc.","yZFSmq1jJzE=","LOdFES9HN1w=",NA,NA,NA,NA,"20251209T224819Z","RELEASE-2026"
"5b234b4e-a139-4af9-8674-cb9ef857be5e","D16","MART","MART.AOS.reach",2024-07-23T16:11:00Z,2025-06-11,2025-06-12,"MART.20240723.HESS.1","A00000297070","BA24NEOMST11001GA",NA,"BA24NEOMST11001C",NA,NA,NA,NA,NA,"RHITHRON_Macroinvertebrate_Identification_Revision3","fine organic",NA,NA,47,98.8,1,NA,"Rhithron Associates, Inc.","LOdFES9HN1w=","yZFSmq1jJzE=",NA,NA,NA,NA,"20251209T224819Z","RELEASE-2026"
"78922c92-87bf-42a5-9edd-181f79ad7458","D16","MART","MART.AOS.reach",2024-07-23T16:11:00Z,2025-06-11,2025-06-12,"MART.20240723.HESS.3","A00000297055","BA24NEOMST11003GA",NA,"BA24NEOMST11003C",NA,NA,NA,NA,NA,"RHITHRON_Macroinvertebrate_Identification_Revision3","fine organic",NA,NA,100,96.6,1,NA,"Rhithron Associates, Inc.","Uog/oUMQCVbNmchl+1b2Vw==","LOdFES9HN1w=",NA,NA,NA,NA,"20251209T224819Z","RELEASE-2026"
"0ea515cc-47dd-4917-b8f5-bdfb29abd61d","D16","MART","MART.AOS.reach",2024-07-23T16:11:00Z,2025-06-11,2025-06-12,"MART.20240723.SURBER.5","A00000297054","BA24NEOMST11008GA",NA,"BA24NEOMST11008C",NA,NA,NA,NA,NA,"RHITHRON_Macroinvertebrate_Identification_Revision3","other (specified in remarks)",NA,NA,33,100,1,NA,"Rhithron Associates, Inc.","LOdFES9HN1w=","yZFSmq1jJzE=","fine inorganic",NA,NA,NA,"20251209T224819Z","RELEASE-2026"
"28e9816b-28d4-4b30-8e80-f9faed6d7399","D16","MART","MART.AOS.reach",2024-07-23T16:11:00Z,2025-06-11,2025-06-12,"MART.20240723.SURBER.2","A00000297053","BA24NEOMST11005GA",NA,"BA24NEOMST11005C",NA,NA,NA,NA,NA,"RHITHRON_Macroinvertebrate_Identification_Revision3","fine organic",NA,NA,30,97.7,1,NA,"Rhithron Associates, Inc.","f4cEayqHT1iCvAVqokBXcA==","LOdFES9HN1w=",NA,NA,NA,NA,"20251209T224819Z","RELEASE-2026"
"22c61064-234c-4d54-bacf-ffe0f8336bf0","D17","TECR","TECR.AOS.reach",2024-07-22T18:47:00Z,2025-05-12,2025-05-13,"TECR.20240722.SURBER.7","A00000398112","BA24NEOMST08023GA",NA,"BA24NEOMST08023C",NA,NA,NA,NA,NA,"RHITHRON_Macroinvertebrate_Identification_Revision2","coarse organic",NA,NA,50,98.8,1,NA,"Rhithron Associates, Inc.","f4cEayqHT1iCvAVqokBXcA==","jrNz6zwqS3Q=",NA,NA,NA,NA,"20251209T224956Z","RELEASE-2026"
"5c8246b3-63fc-4603-b467-88f5f1cb1c46","D17","TECR","TECR.AOS.reach",2024-07-22T18:47:00Z,2025-05-12,2025-05-13,"TECR.20240722.SURBER.4","A00000398118","BA24NEOMST08020GA",NA,"BA24NEOMST08020C",NA,NA,NA,NA,NA,"RHITHRON_Macroinvertebrate_Identification_Revision2","coarse organic",NA,NA,30,100,1,NA,"Rhithron Associates, Inc.","6PggFqA0bwDjQoJC5vkYlg==","jrNz6zwqS3Q=",NA,NA,NA,NA,"20251209T224956Z","RELEASE-2026"
