"siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","surfWaterTempMean","surfWaterTempExpUncert","finalQF","waterSurfTempMean","waterSurfTempExpUncert","HOR.VER"
"TECR","101","100",2021-04-01 00:00:00,2021-04-01 00:30:00,4.17,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 00:30:00,2021-04-01 01:00:00,4.046,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 01:00:00,2021-04-01 01:30:00,3.854,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 01:30:00,2021-04-01 02:00:00,3.647,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 02:00:00,2021-04-01 02:30:00,3.468,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 02:30:00,2021-04-01 03:00:00,3.309,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 03:00:00,2021-04-01 03:30:00,3.173,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 03:30:00,2021-04-01 04:00:00,3.072,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 04:00:00,2021-04-01 04:30:00,2.984,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 04:30:00,2021-04-01 05:00:00,2.907,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 05:00:00,2021-04-01 05:30:00,2.844,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 05:30:00,2021-04-01 06:00:00,2.793,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 06:00:00,2021-04-01 06:30:00,2.748,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 06:30:00,2021-04-01 07:00:00,2.705,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 07:00:00,2021-04-01 07:30:00,2.663,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 07:30:00,2021-04-01 08:00:00,2.621,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 08:00:00,2021-04-01 08:30:00,2.578,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 08:30:00,2021-04-01 09:00:00,2.534,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 09:00:00,2021-04-01 09:30:00,2.494,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 09:30:00,2021-04-01 10:00:00,2.456,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 10:00:00,2021-04-01 10:30:00,2.42,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 10:30:00,2021-04-01 11:00:00,2.387,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 11:00:00,2021-04-01 11:30:00,2.347,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 11:30:00,2021-04-01 12:00:00,2.309,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 12:00:00,2021-04-01 12:30:00,2.271,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 12:30:00,2021-04-01 13:00:00,2.232,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 13:00:00,2021-04-01 13:30:00,2.194,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 13:30:00,2021-04-01 14:00:00,2.153,0.138,0,NA,NA,"101.100"
"TECR","101","100",2021-04-01 14:00:00,2021-04-01 14:30:00,2.118,0.138,0,NA,NA,"101.100"
